#{"t_start": 1626369421.1535647, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,4147,2555.277485
484.0,6631,2566.024811
308.0,3901,2572.464377
660.0,10635,2589.501973
660.0,11623,2608.292433
852.0,6877,2619.461359
1236.0,13121,2640.806217
660.0,7459,2652.975574
708.0,9462,2668.408611
352.0,4147,2675.166609
1140.0,12031,2694.745709
2056.0,17422,2722.959671
2108.0,22033,2758.780286
948.0,11739,2777.828666
2944.0,17889,2806.744468
572.0,6678,2817.678785
2056.0,12337,2837.854077
1092.0,10987,2855.804312
2160.0,14273,2878.877731
1332.0,10907,2896.493167
852.0,7965,2909.391644
660.0,5077,2917.536458
660.0,8333,2931.079239
1332.0,15725,2956.603889
1900.0,13623,2979.02358
996.0,10747,2996.472856
1284.0,9523,3011.774452
852.0,9513,3027.188641
2440.0,17437,3055.518666
900.0,6649,3066.422728
948.0,13548,3088.378163
756.0,6639,3099.257921
264.0,4459,3106.481167
1484.0,14627,3130.385882
1380.0,8993,3145.19991
440.0,6226,3155.256803
2004.0,14215,3178.334686
1380.0,9283,3193.618427
1380.0,9251,3208.727575
1332.0,12609,3229.101762
1744.0,15497,3254.415117
440.0,7730,3267.059146
1188.0,17489,3295.498291
1380.0,11368,3314.072495
708.0,7694,3326.554332
1044.0,11037,3344.446537
852.0,9661,3360.11666
1092.0,10726,3377.433504
1332.0,12835,3398.270955
1380.0,15113,3422.736646
1952.0,16857,3449.987872
1236.0,10211,3466.601388
1236.0,8220,3480.034057
1380.0,11417,3498.514517
948.0,12331,3518.535056
1188.0,14305,3541.611947
2328.0,24031,3580.52165
948.0,11597,3599.690557
1188.0,13550,3621.405928
484.0,5235,3629.893975
1380.0,15107,3654.297665
2944.0,21877,3689.821672
1692.0,14802,3713.592963
660.0,7351,3725.540112
2720.0,18628,3755.752457
756.0,8615,3769.552166
1952.0,12121,3789.30189
3560.0,16884,3816.702411
756.0,15269,3841.621446
900.0,9975,4062.71757
2440.0,17301,4090.660714
1744.0,13935,4113.313029
1536.0,13665,4135.290785
2552.0,16949,4162.630794
2160.0,14977,4186.831621
900.0,7613,4199.263858
2272.0,17673,4227.792284
3300.0,18717,4257.997188
1900.0,14459,4281.261567
1692.0,11981,4300.79305
3000.0,17691,4329.186564
1380.0,8731,4343.17872
1380.0,10711,4360.492589
3780.0,19989,4392.791109
1332.0,11275,4411.108882
660.0,7391,4423.048095
2664.0,17199,4450.841448
1380.0,13909,4473.210051
852.0,7657,4485.560944
3308.0,21671,4520.373192
708.0,9087,4535.124724
756.0,8881,4549.30685
1380.0,14803,4573.363836
948.0,11953,4592.604663
2160.0,16440,4619.098497
1380.0,11035,4636.722862
2832.0,20337,4669.578886
1588.0,13079,4690.631601
708.0,4159,4697.197648
756.0,8717,4711.144172
1380.0,15469,4735.842983
1380.0,14810,4759.710001
3308.0,15115,4784.20198
1484.0,11163,4802.21124
660.0,6772,4813.627172
1952.0,10437,4830.388001
2944.0,20349,4863.170121
2160.0,14881,4887.238019
1044.0,8351,4900.838336
660.0,8623,4914.962925
1380.0,8162,4928.260683
2108.0,11385,4946.460903
3780.0,16610,4973.389233
2832.0,18252,5002.772265
1692.0,11947,5021.970437
1380.0,11029,5040.105185
2832.0,14514,5063.723211
