#{"t_start": 1626360137.6203296, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
352.0,6335,71.307979
352.0,4403,109.683127
660.0,5863,161.970609
660.0,6361,218.115376
440.0,5159,261.491381
804.0,8267,331.636282
264.0,4411,369.026889
396.0,5269,413.243844
440.0,5833,462.148732
484.0,6075,513.691876
572.0,5643,561.283482
660.0,7951,632.810192
572.0,6429,687.882747
308.0,4479,725.125983
220.0,4155,760.365826
528.0,5722,808.817429
572.0,7133,869.177792
176.0,4249,973.415961
572.0,6913,1031.273902
572.0,7403,1093.140041
572.0,7592,1157.146597
616.0,6494,1211.769654
660.0,6899,1269.296416
804.0,9313,1347.141827
660.0,5689,1396.279165
220.0,4259,1432.461273
220.0,3791,1465.304439
264.0,4107,1499.958677
572.0,6023,1550.052667
572.0,7927,1617.399217
396.0,5524,1663.433816
660.0,6565,1719.178259
484.0,6251,1771.855461
396.0,5829,1905.477385
528.0,7409,1968.957045
660.0,9171,2049.216699
616.0,5723,2097.69059
176.0,4407,2134.610377
660.0,8299,2204.572004
660.0,7983,2272.477385
660.0,8449,2344.167473
308.0,4572,2382.969194
352.0,3805,2415.24368
220.0,4766,2456.285255
352.0,5425,2501.860432
660.0,6953,2560.912427
804.0,10995,2654.283604
264.0,4921,2696.245869
220.0,4666,2735.715699
308.0,5323,2853.463138
900.0,9747,2936.391814
396.0,4335,2972.458103
616.0,7955,3040.197419
264.0,4301,3076.060916
708.0,9126,3152.859938
616.0,7739,3217.608189
660.0,7281,3278.55573
572.0,6523,3333.761358
308.0,3183,3360.169794
528.0,5283,3404.339767
352.0,3495,3433.99931
572.0,5565,3480.25598
308.0,3627,3510.551441
660.0,7293,3572.526901
660.0,7573,3635.683505
660.0,8465,3786.943866
484.0,5763,3835.608444
756.0,8959,3911.267484
616.0,7307,3973.618637
572.0,6233,4026.271316
484.0,5829,4075.091321
264.0,5553,4122.226121
484.0,5157,4165.62523
616.0,6911,4223.950413
616.0,6525,4279.268008
572.0,6775,4336.668602
484.0,5227,4380.415751
440.0,4479,4418.531413
396.0,4765,4458.506413
756.0,10010,4543.026209
176.0,5107,4586.12491
440.0,6301,4705.164448
220.0,4357,4742.058661
616.0,9557,4822.637616
528.0,4877,4863.970438
756.0,5539,4910.178473
264.0,4146,4945.154781
220.0,3981,4978.838872
660.0,7291,5040.500615
572.0,5171,5084.095543
660.0,7741,5149.025982
528.0,4931,5190.9257
616.0,6479,5245.36506
396.0,6823,5303.405359
352.0,3584,5333.626046
308.0,4200,5369.077114
264.0,4115,5403.827901
948.0,7517,5467.269796
756.0,7209,5615.120478
616.0,8265,5685.27227
900.0,8781,5759.542193
616.0,5955,5810.095661
352.0,3659,5840.625171
264.0,4254,5875.911349
528.0,6701,5932.471288
352.0,5727,5980.459792
660.0,5229,6024.881222
440.0,4608,6062.733028
396.0,4293,6099.270009
756.0,9687,6181.005057
440.0,5025,6222.800512
572.0,5317,6267.937847
948.0,10283,6354.700984
572.0,5629,6401.337547
660.0,5421,6519.372864
440.0,6137,6571.079292
528.0,4818,6611.257707
804.0,8517,6683.171091
852.0,7847,6749.00713
660.0,5944,6799.504799
660.0,6889,6857.16236
484.0,5127,6900.962443
660.0,6301,6954.572701
900.0,9209,7032.445445
660.0,6260,7085.438252
352.0,5632,7133.215184
572.0,5703,7181.210077
528.0,4373,7218.614642
352.0,3797,7250.512002
660.0,6671,7306.960561
660.0,6199,7359.339985
708.0,8141,7481.744794
528.0,4739,7521.72384
176.0,3540,7551.528979
660.0,5511,7597.342816
440.0,5973,7648.082362
352.0,3699,7679.026123
396.0,4314,7715.191926
352.0,3505,7744.732997
852.0,9253,7823.183089
528.0,5749,7871.753625
572.0,5893,7921.71225
572.0,5369,7966.869358
660.0,8296,8036.884384
528.0,4731,8076.811707
948.0,7399,8139.622445
708.0,6556,8194.546842
352.0,3966,8227.932389
660.0,7757,8355.519301
572.0,5105,8398.7269
660.0,6958,8457.910779
396.0,4663,8497.037553
572.0,5425,8542.356409
264.0,4397,8579.772713
264.0,5059,8621.932481
900.0,8793,8696.316193
528.0,5623,8743.922881
660.0,7963,8811.749376
804.0,9583,8892.377911
352.0,3835,8925.114484
484.0,6059,8976.635144
660.0,6434,9030.847613
616.0,6961,9089.1679
900.0,8293,9159.788778
