#{"t_start": 1626360139.204057, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
352.0,5192,59.796316
660.0,7325,124.021197
264.0,5839,175.766404
220.0,4641,216.818832
264.0,4109,251.386604
484.0,4721,291.314795
308.0,3520,320.843448
660.0,9335,399.615609
396.0,5469,445.891741
528.0,7434,508.443404
308.0,4739,548.233849
440.0,5065,592.864727
440.0,7233,657.210348
352.0,3418,686.019771
440.0,6503,740.617389
440.0,4915,782.609699
572.0,6073,833.417023
264.0,4019,867.319777
264.0,4108,970.037021
660.0,8279,1039.763811
528.0,8097,1108.076353
756.0,8783,1181.536598
440.0,5799,1229.984619
660.0,8545,1301.628932
440.0,4031,1335.533835
220.0,4153,1370.243886
660.0,8712,1445.982211
572.0,6671,1502.767982
660.0,8118,1570.507754
756.0,10139,1656.33677
264.0,4674,1695.584501
440.0,5529,1742.644896
264.0,4583,1781.251331
484.0,4753,1905.962107
440.0,5827,1955.162722
352.0,5111,1998.231962
176.0,4410,2038.205685
528.0,6063,2089.346694
220.0,4700,2128.942759
708.0,9479,2209.450835
220.0,4281,2245.337163
440.0,6859,2303.134145
572.0,7895,2370.778054
484.0,7239,2432.58633
572.0,8503,2504.890876
660.0,8445,2576.518174
616.0,7105,2636.209382
616.0,8079,2705.089407
308.0,3901,2811.21617
852.0,9427,2891.23433
352.0,3681,2922.154925
264.0,4041,2956.310947
264.0,5675,3004.314412
440.0,5319,3048.870237
528.0,5734,3096.956756
264.0,4693,3136.1724
660.0,8153,3204.476926
572.0,7179,3264.747904
352.0,4469,3302.509657
1188.0,13115,3412.959742
220.0,4015,3446.833424
484.0,6217,3498.89267
484.0,6679,3554.971783
1044.0,10965,3647.370563
572.0,6237,3779.155117
440.0,6147,3831.316741
396.0,3832,3863.933441
396.0,4821,3904.441001
660.0,8611,3977.477566
264.0,3769,4009.087585
572.0,6074,4060.583311
708.0,8659,4134.092108
756.0,6709,4190.718396
660.0,7997,4258.168071
528.0,7503,4322.05195
660.0,8046,4389.474198
352.0,5306,4434.492569
708.0,7975,4501.713155
756.0,8467,4573.82533
528.0,7271,4701.144369
308.0,4317,4737.057494
528.0,5123,4780.436317
616.0,8565,4853.165351
528.0,5793,4901.989515
484.0,5796,4950.757596
572.0,5788,4999.42849
264.0,4005,5033.413769
396.0,6577,5089.154265
440.0,4419,5125.537402
572.0,5439,5171.705911
660.0,7573,5235.19703
852.0,6544,5290.734435
660.0,8895,5366.000274
308.0,4273,5402.723805
660.0,8849,5477.671159
572.0,6673,5621.048966
756.0,8819,5696.080631
616.0,6410,5749.727184
396.0,4484,5787.727297
660.0,7300,5848.787944
396.0,5062,5891.332353
616.0,5979,5941.777665
440.0,5785,5990.026947
220.0,4179,6024.938262
660.0,8121,6093.438973
396.0,3807,6125.049352
660.0,6423,6179.616753
660.0,8091,6247.241287
528.0,4345,6283.966225
528.0,4789,6323.936272
572.0,6439,6377.664236
572.0,6321,6431.282443
660.0,5563,6549.626226
572.0,6079,6600.702517
660.0,7865,6666.520277
396.0,4827,6707.501777
660.0,5835,6756.122
660.0,6007,6806.844779
352.0,4681,6846.131151
396.0,4189,6881.054576
484.0,5359,6927.008175
308.0,3847,6959.735295
948.0,9117,7036.562665
396.0,3701,7067.542241
852.0,6018,7118.76971
528.0,5163,7162.39365
1092.0,7023,7222.246409
660.0,7721,7287.817856
528.0,5071,7330.672019
572.0,5323,7429.000872
660.0,8541,7500.736213
948.0,9161,7578.354532
484.0,4835,7619.398709
308.0,3225,7646.178219
484.0,5175,7689.788728
660.0,5833,7738.957079
660.0,8341,7809.447027
308.0,4391,7846.714127
660.0,5229,7890.873731
396.0,5313,7935.368551
660.0,7209,7996.470687
440.0,6766,8053.577198
948.0,8129,8122.375844
616.0,6137,8174.247719
264.0,4557,8212.734388
660.0,8069,8343.075932
616.0,5921,8392.918246
660.0,7015,8452.402248
308.0,4032,8485.755112
804.0,8139,8554.600473
660.0,8723,8628.587457
220.0,3667,8659.458749
440.0,5755,8708.181881
396.0,3877,8740.889346
660.0,5857,8790.23883
756.0,7080,8850.266917
528.0,4959,8892.416863
660.0,6171,8944.638303
264.0,3953,8977.385593
1284.0,7951,9045.243685
440.0,5453,9090.857686
660.0,7305,9152.343887
