#{"t_start": 1626360132.8334346, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
572.0,7063,82.54188
572.0,5601,131.740443
396.0,5581,181.559683
484.0,6832,241.162139
264.0,4587,280.090563
308.0,3828,312.045112
176.0,4031,346.08823
440.0,5703,394.197152
484.0,8609,467.074012
352.0,5797,515.835786
396.0,6573,571.513648
484.0,5261,619.808753
660.0,8027,688.772243
528.0,8941,764.317456
308.0,3939,797.904289
396.0,4531,836.340942
660.0,9045,980.563815
440.0,5155,1023.944081
264.0,5015,1066.128424
528.0,7419,1128.298873
616.0,7461,1191.130832
660.0,6623,1246.687121
660.0,8635,1318.162554
396.0,6897,1376.683452
660.0,6891,1436.126713
756.0,10079,1522.277631
220.0,3623,1552.452249
440.0,7229,1613.483485
572.0,6249,1666.128087
352.0,4397,1702.712515
616.0,8081,1771.171529
572.0,6167,1908.176617
220.0,3993,1942.397856
660.0,6719,1999.084921
264.0,3687,2030.419178
264.0,4448,2069.760245
352.0,5275,2115.042805
660.0,7585,2178.89903
352.0,5683,2226.854022
900.0,9946,2311.805216
528.0,6100,2363.794001
264.0,5189,2408.078962
900.0,10039,2493.296597
528.0,7445,2556.526402
264.0,3347,2584.28702
572.0,5725,2632.677103
264.0,4443,2670.627426
660.0,9021,2820.009256
660.0,9165,2898.066728
396.0,4781,2938.169478
176.0,3683,2969.03384
528.0,5521,3015.936863
220.0,5031,3058.495456
616.0,6359,3111.731883
528.0,5544,3158.265345
484.0,6447,3211.755725
396.0,3948,3245.019027
572.0,8077,3313.139581
660.0,8713,3386.532902
132.0,3813,3418.367133
528.0,8227,3487.632397
900.0,10585,3576.973043
220.0,4180,3611.88009
220.0,3940,3644.639278
572.0,8046,3792.26644
308.0,4127,3826.990499
396.0,4985,3868.554393
708.0,6775,3926.514993
132.0,4029,3959.795638
572.0,6433,4014.395776
660.0,5795,4063.116629
484.0,4891,4104.096656
900.0,9583,4185.494497
308.0,4631,4224.580346
88.0,3345,4252.285909
308.0,3586,4282.519287
484.0,5625,4330.161052
616.0,6975,4389.247526
660.0,6905,4447.32607
352.0,4811,4488.431548
308.0,5053,4530.6452
440.0,3972,4564.284939
440.0,5092,4673.188464
528.0,7833,4739.327922
308.0,3795,4771.258016
528.0,4961,4813.480345
572.0,6979,4872.606788
660.0,8693,4946.333774
308.0,4438,4983.397607
660.0,5935,5033.955495
572.0,5158,5077.487947
396.0,4217,5112.823266
572.0,6087,5163.922766
852.0,7313,5225.747145
708.0,6625,5281.942295
396.0,4213,5317.264092
352.0,4059,5351.728926
220.0,3255,5378.894437
572.0,6648,5435.349189
572.0,6635,5491.714341
484.0,6069,5629.415492
396.0,4569,5668.076251
660.0,6459,5723.140703
308.0,5229,5767.128825
572.0,5596,5814.250157
1092.0,8767,5887.984026
264.0,3191,5914.624503
352.0,3626,5944.886592
528.0,4415,5981.415089
660.0,7488,6044.597712
308.0,6027,6095.29054
660.0,6855,6152.806702
528.0,5217,6196.528379
308.0,3689,6227.319567
352.0,3694,6258.128752
852.0,9659,6339.812237
440.0,5508,6386.121136
440.0,7421,6520.294383
352.0,6040,6571.194977
572.0,6226,6623.420841
396.0,4695,6662.605822
352.0,4151,6697.315975
660.0,6006,6747.946185
484.0,4579,6786.659498
572.0,6028,6836.729841
572.0,5951,6886.945567
484.0,4969,6929.612357
660.0,7923,6997.218996
352.0,4665,7036.385669
484.0,5617,7084.112708
660.0,6107,7135.119328
572.0,6315,7188.95117
308.0,3945,7221.844098
440.0,5773,7271.456354
660.0,8743,7344.814841
616.0,6874,7456.810198
572.0,7005,7515.661053
660.0,7471,7578.8259
708.0,6871,7636.540926
804.0,6093,7688.123819
572.0,6657,7744.440358
756.0,6657,7800.771208
660.0,6557,7856.467729
264.0,3605,7886.162403
660.0,7773,7952.38732
616.0,6867,8010.371645
396.0,4857,8050.935998
660.0,4923,8092.64448
660.0,6875,8150.510808
660.0,5787,8198.984057
132.0,4038,8233.002005
660.0,6683,8351.497018
308.0,3675,8382.41935
528.0,5717,8430.502302
572.0,5694,8478.338042
660.0,6358,8532.564266
440.0,4285,8568.22426
352.0,6481,8622.539033
708.0,7308,8685.031808
756.0,7257,8746.352289
852.0,9717,8828.802616
660.0,7068,8888.013981
396.0,3721,8919.302359
660.0,6603,8975.361258
396.0,4273,9012.076185
264.0,4261,9047.983093
440.0,4225,9083.262908
616.0,5857,9132.374917
396.0,4760,9172.404553
