#{"t_start": 1626360140.7917528, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
484.0,6297,67.929228
220.0,4588,108.45164
440.0,6759,168.259628
308.0,5289,214.811024
440.0,7366,277.030854
440.0,6239,329.637403
264.0,3989,363.203849
484.0,7557,426.938386
616.0,7527,490.039266
484.0,5431,536.079969
352.0,5673,584.183738
352.0,5635,636.552242
900.0,11063,729.87554
264.0,4113,764.645422
708.0,9427,844.38567
616.0,6951,971.59217
484.0,5567,1018.573879
660.0,8561,1090.065337
900.0,9691,1171.435314
484.0,4471,1209.100678
660.0,8723,1282.027058
220.0,3764,1313.139727
660.0,9783,1396.987495
616.0,8187,1467.195688
996.0,8863,1541.887181
264.0,3719,1573.085546
352.0,4323,1609.920796
352.0,6183,1662.088383
484.0,5233,1706.125746
660.0,9169,1783.842895
660.0,7491,1931.889876
616.0,6403,1986.23831
396.0,4291,2022.619084
660.0,8403,2095.968975
660.0,7511,2159.794397
264.0,4197,2195.047629
264.0,5759,2243.587772
660.0,8347,2314.522218
660.0,8510,2387.331812
900.0,7913,2454.805192
484.0,5423,2501.096477
308.0,3534,2530.122267
756.0,10085,2615.605594
616.0,5661,2663.59613
572.0,6405,2717.831078
660.0,7581,2855.070142
264.0,3671,2886.111362
396.0,3677,2917.020082
616.0,5645,2964.671073
396.0,4031,2998.821709
660.0,7985,3065.845472
900.0,10219,3151.88381
572.0,7135,3211.574109
660.0,8529,3283.52958
616.0,8165,3352.387203
220.0,3733,3383.429926
616.0,7993,3450.724696
396.0,3951,3484.039375
528.0,6085,3535.123238
660.0,8511,3606.260908
572.0,6755,3742.343648
484.0,4700,3781.950536
220.0,3573,3812.183053
396.0,5115,3855.359006
440.0,6449,3910.244571
852.0,8125,3978.506766
220.0,3299,4006.571873
396.0,4089,4040.898555
572.0,7515,4104.092945
264.0,3623,4134.459644
264.0,3843,4167.099924
220.0,4012,4200.456527
264.0,4645,4239.605725
708.0,9109,4317.046412
440.0,4939,4358.937502
572.0,6486,4413.328871
220.0,4359,4450.524136
948.0,9109,4527.305124
308.0,3987,4560.971474
900.0,8780,4701.214305
660.0,5967,4751.923829
352.0,5479,4797.730421
176.0,3663,4828.534693
484.0,6485,4883.457734
396.0,4834,4924.037942
264.0,4775,4964.895435
660.0,5945,5014.651788
708.0,7075,5074.759833
660.0,6222,5126.86321
440.0,4059,5160.954207
660.0,8361,5231.647158
660.0,7981,5298.666961
264.0,3789,5331.244254
264.0,6276,5384.382618
484.0,4935,5426.363654
660.0,8148,5495.041215
852.0,6451,5636.589445
308.0,4049,5670.815715
264.0,3523,5700.064005
660.0,8555,5772.437067
484.0,4831,5812.638653
804.0,9027,5888.8588
308.0,4549,5927.160122
396.0,5145,5970.272946
572.0,6039,6020.487159
572.0,6444,6074.862009
528.0,5799,6123.512248
708.0,8881,6198.31992
660.0,5133,6241.473558
528.0,5532,6288.230832
528.0,5377,6333.17179
396.0,3581,6363.143434
264.0,3539,6392.695355
660.0,8351,6535.157873
804.0,9783,6617.397418
616.0,5003,6659.295209
484.0,5399,6705.018306
616.0,6447,6758.88223
528.0,6001,6809.604027
852.0,7727,6874.457457
660.0,8617,6948.006381
220.0,3733,6979.916983
396.0,4249,7015.475463
396.0,4884,7056.307475
660.0,6557,7112.115641
484.0,6931,7170.421855
264.0,3351,7198.940875
352.0,4597,7237.985738
660.0,5493,7283.848539
660.0,6420,7338.552448
660.0,8391,7462.749508
756.0,8153,7531.732227
572.0,5057,7574.320068
756.0,7501,7637.194212
660.0,6437,7691.911468
660.0,6438,7746.064462
528.0,6909,7804.891764
484.0,4038,7838.280885
572.0,5923,7888.603539
900.0,8385,7959.319028
616.0,5323,8004.286222
396.0,3996,8038.063454
572.0,5761,8086.602705
660.0,6713,8143.268713
852.0,6904,8201.925261
660.0,5679,8249.77844
396.0,3991,8344.928491
852.0,10121,8430.75702
528.0,4953,8472.77938
660.0,6097,8524.403581
484.0,5255,8568.548035
660.0,5945,8618.354338
352.0,5203,8662.343311
900.0,9597,8743.94421
572.0,4631,8783.082448
660.0,6447,8837.125949
484.0,4187,8872.868129
660.0,7171,8933.28845
616.0,6545,8988.940204
756.0,5977,9039.962774
440.0,6191,9092.355091
660.0,6673,9148.426975
