#{"t_start": 1626360134.4097226, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
396.0,6867,79.289112
176.0,5413,126.336404
308.0,5017,171.381711
660.0,7753,239.265932
220.0,3953,272.915145
440.0,5887,322.340871
396.0,7247,383.64785
308.0,3883,416.359715
352.0,5440,461.744303
264.0,3745,493.165552
528.0,5571,540.192429
264.0,4355,577.367446
308.0,4440,618.454672
308.0,4091,653.710076
88.0,3775,685.189903
220.0,3809,717.744513
264.0,4365,754.19327
308.0,4571,792.875005
528.0,5659,840.691463
528.0,6755,965.830294
616.0,8843,1040.181207
660.0,8453,1111.69368
660.0,8355,1181.458231
616.0,5333,1225.974874
852.0,11023,1318.542654
484.0,6707,1374.955884
616.0,5162,1420.117399
708.0,8473,1492.222086
660.0,9541,1573.11721
660.0,7271,1634.480463
264.0,3903,1667.03775
616.0,7349,1729.822411
484.0,7819,1795.763451
900.0,10669,1971.248565
660.0,8857,2048.764651
308.0,3897,2081.252718
756.0,10105,2167.390635
572.0,5665,2215.061585
440.0,6475,2270.17056
308.0,4555,2308.170528
708.0,5549,2355.556181
660.0,9582,2437.677767
948.0,12575,2544.433014
528.0,6713,2601.25831
804.0,9113,2678.890888
852.0,9686,2834.301163
660.0,7865,2901.027351
264.0,4180,2936.127942
616.0,6393,2990.656844
948.0,8675,3064.211589
572.0,6386,3117.753417
352.0,6197,3169.740529
616.0,7937,3235.887225
264.0,3675,3266.268664
948.0,10541,3355.678528
484.0,6781,3412.676582
572.0,6449,3467.338976
308.0,4501,3504.388844
396.0,5263,3548.389794
708.0,10369,3636.271264
220.0,4436,3752.410958
804.0,7807,3818.488699
528.0,6532,3873.974873
804.0,9649,3955.658999
352.0,4567,3994.257366
660.0,7687,4058.541526
484.0,5139,4101.986673
396.0,4771,4142.848298
484.0,5379,4187.735144
572.0,6629,4243.830652
352.0,5962,4293.876413
572.0,6309,4347.700458
708.0,5457,4393.264132
616.0,6539,4448.520791
948.0,6941,4506.972738
308.0,4183,4542.25952
396.0,4977,4584.340322
660.0,5029,4692.872403
804.0,8047,4760.570098
708.0,5666,4808.509143
484.0,5987,4859.128758
660.0,7431,4921.619313
616.0,7981,4989.628124
308.0,4149,5024.652961
264.0,3977,5058.564106
572.0,6547,5113.181874
660.0,5256,5157.05622
484.0,5137,5200.439774
616.0,9143,5277.917479
616.0,6361,5332.220318
484.0,4675,5371.677145
484.0,4851,5412.411706
616.0,5827,5461.409056
396.0,4452,5499.496782
396.0,5889,5635.627617
804.0,10951,5728.442204
660.0,6849,5786.681037
900.0,7047,5845.48845
352.0,4149,5880.059891
660.0,8009,5947.972703
616.0,6413,6002.092117
660.0,8965,6077.073043
264.0,3145,6103.493944
528.0,5895,6152.708495
616.0,5047,6195.290859
264.0,3357,6223.607504
660.0,8385,6294.101982
396.0,3587,6324.162323
220.0,3802,6355.862239
616.0,7756,6420.99048
528.0,4955,6535.024576
528.0,5679,6582.590626
396.0,4513,6620.398713
572.0,6664,6675.6161
528.0,5347,6720.942781
572.0,5285,6765.207716
660.0,5803,6813.934602
308.0,3835,6846.336272
572.0,5333,6891.453709
660.0,7115,6952.367707
264.0,3899,6984.660248
572.0,6299,7038.650824
352.0,3900,7071.090624
352.0,4087,7105.694564
804.0,9649,7187.79797
660.0,9165,7265.842656
396.0,3875,7298.265887
528.0,6208,7350.803615
484.0,5609,7451.783633
308.0,4039,7485.794635
396.0,3885,7518.125866
852.0,10063,7603.197159
484.0,4101,7637.770263
572.0,5807,7686.694843
484.0,4897,7728.37376
660.0,7639,7792.524439
756.0,7609,7857.208257
660.0,6595,7913.106264
660.0,6444,7967.196497
948.0,7963,8034.914769
264.0,3785,8066.735939
352.0,5126,8109.721719
756.0,6939,8168.589788
804.0,8745,8242.519712
708.0,6389,8358.269619
396.0,5477,8404.762353
264.0,3712,8435.70313
660.0,7153,8496.083557
220.0,3903,8528.481184
660.0,6189,8580.70916
440.0,4205,8616.076403
528.0,4551,8654.617403
484.0,4713,8694.279122
660.0,7691,8759.389553
264.0,3717,8790.56163
804.0,8124,8859.459146
308.0,3727,8890.607548
484.0,5840,8940.693729
708.0,5881,8990.150666
616.0,4455,9028.059336
660.0,8183,9096.768516
352.0,4153,9131.535189
572.0,5388,9177.295646
