#{"t_start": 1626360131.215483, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
528.0,7885,91.694007
352.0,6413,148.224501
264.0,4269,186.166537
396.0,7375,250.184387
484.0,5114,293.554241
308.0,5729,341.681768
352.0,4551,380.205563
572.0,5628,427.580302
352.0,5789,476.345566
308.0,5399,521.513795
396.0,5251,565.57252
528.0,5441,615.207363
484.0,7971,683.833969
264.0,5682,731.734686
484.0,7739,797.405468
440.0,6705,854.133556
708.0,8505,994.555781
572.0,5763,1042.650295
308.0,4105,1077.127022
264.0,4129,1111.629147
660.0,7865,1177.337905
852.0,9266,1255.116143
308.0,3361,1283.42093
352.0,3376,1310.833202
756.0,9045,1387.653394
660.0,8136,1458.184799
528.0,6173,1510.536089
484.0,7549,1573.428512
176.0,4595,1612.486921
396.0,6043,1663.550592
484.0,5019,1706.085315
660.0,8299,1776.20042
660.0,5933,1910.656616
616.0,6013,1961.876577
708.0,8453,2033.59209
572.0,6078,2087.408327
660.0,9552,2168.6475
572.0,7787,2234.410084
708.0,8611,2306.988754
756.0,8848,2382.955801
660.0,8355,2454.482792
484.0,5627,2502.237872
756.0,8915,2577.474587
660.0,8369,2648.424371
264.0,4303,2685.321792
572.0,6587,2740.679666
264.0,3711,2845.409015
708.0,8593,2918.019024
756.0,8701,2991.860312
440.0,5029,3034.488541
660.0,7842,3100.354799
308.0,3967,3133.707521
756.0,9481,3212.995228
660.0,8823,3287.182655
440.0,6459,3342.04654
756.0,9687,3423.678528
484.0,7307,3484.978891
440.0,5437,3531.085634
528.0,4542,3568.63658
528.0,6261,3621.787045
308.0,3998,3655.002513
708.0,8603,3807.250093
1092.0,11887,3908.026657
484.0,6933,3966.260005
484.0,5467,4012.53399
396.0,5329,4057.294583
264.0,3685,4088.16883
396.0,5561,4135.282342
528.0,7615,4199.827434
264.0,3471,4229.168331
308.0,3566,4259.381076
308.0,3251,4286.435207
440.0,5090,4329.405644
572.0,5427,4374.808053
484.0,4529,4413.068211
616.0,6209,4465.559532
264.0,3583,4495.733485
616.0,7749,4561.216103
264.0,4199,4596.538888
352.0,4129,4697.165779
528.0,6983,4756.537727
660.0,6168,4808.764584
660.0,8187,4877.360451
660.0,6096,4928.965921
264.0,3802,4961.381867
484.0,5914,5010.885418
308.0,3849,5042.981606
264.0,3543,5072.991835
484.0,5959,5123.295989
528.0,5293,5167.420061
528.0,5802,5216.411772
220.0,4321,5253.141107
660.0,6877,5310.881566
660.0,5303,5355.610621
528.0,5271,5400.079068
352.0,4563,5438.80482
484.0,5783,5487.635301
660.0,6441,5629.29546
528.0,4927,5670.456554
440.0,6266,5724.151552
660.0,7597,5787.88235
900.0,7448,5850.832136
528.0,6745,5907.536945
660.0,7581,5971.452815
308.0,4461,6008.428516
616.0,5242,6052.285214
220.0,3712,6083.619879
660.0,8015,6150.930351
572.0,6613,6206.821854
528.0,5153,6250.07866
528.0,4609,6288.725345
660.0,9479,6368.445661
756.0,5459,6414.381403
616.0,5226,6530.21169
660.0,8555,6602.300646
308.0,3789,6633.839053
572.0,6443,6687.476449
852.0,9472,6767.505685
660.0,6245,6820.096409
660.0,7835,6885.697807
264.0,4753,6926.449367
756.0,7649,6991.180644
660.0,5839,7040.135923
660.0,7321,7102.627658
572.0,5417,7148.23674
660.0,5411,7194.270769
528.0,4727,7234.187605
264.0,3213,7261.106381
396.0,4918,7302.343998
660.0,6819,7360.56903
264.0,3797,7445.808458
528.0,4425,7482.543165
132.0,3971,7516.311309
660.0,6449,7570.861347
616.0,6187,7623.019663
484.0,5380,7668.084888
484.0,5543,7715.042631
308.0,4107,7749.751524
308.0,3829,7781.752854
660.0,6599,7837.777154
176.0,3349,7865.444493
572.0,5489,7911.986424
396.0,6579,7967.547666
948.0,9267,8046.07286
220.0,3910,8078.787045
484.0,4469,8116.512544
900.0,7179,8177.149195
660.0,7613,8241.626162
308.0,4061,8337.301589
660.0,8181,8406.43325
352.0,3577,8436.521261
756.0,6917,8495.352736
396.0,3915,8527.951683
708.0,6889,8586.530216
756.0,7089,8646.05615
132.0,3515,8675.646263
352.0,4703,8715.216151
756.0,7065,8775.01187
484.0,5306,8819.622381
572.0,4139,8854.472699
440.0,4639,8893.627692
572.0,4878,8935.272066
660.0,7755,9001.209258
440.0,5540,9047.552068
440.0,4477,9085.323292
616.0,5887,9134.579637
528.0,4569,9173.239817
