#{"t_start": 1626360136.0152738, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,4353,55.450555
176.0,6245,110.296679
352.0,3939,145.542133
660.0,8567,220.970847
308.0,3387,249.598157
440.0,6693,306.339625
396.0,6367,359.702441
264.0,4945,401.606057
440.0,7466,464.418924
220.0,3635,494.946688
484.0,5695,542.859294
572.0,5847,594.342312
396.0,6911,656.010524
660.0,6413,709.824874
484.0,6117,761.598881
308.0,5995,812.635636
440.0,5235,856.489063
264.0,3829,956.643384
220.0,4915,998.349526
440.0,6852,1055.661281
708.0,8923,1131.175661
660.0,8472,1201.747624
660.0,6713,1257.778927
660.0,7815,1323.146077
308.0,3999,1356.676863
660.0,7841,1424.192033
352.0,4009,1458.680172
220.0,4077,1492.962614
708.0,9541,1573.276426
396.0,5085,1616.387143
616.0,6829,1673.875383
660.0,8201,1743.451292
572.0,7431,1891.342735
308.0,3981,1924.566599
572.0,6253,1977.996213
484.0,6061,2029.211419
572.0,7034,2091.121878
616.0,8529,2163.68998
756.0,9479,2243.596869
572.0,6423,2297.694792
132.0,4513,2336.202886
396.0,4821,2376.864965
852.0,9779,2460.776039
308.0,4257,2497.063603
484.0,7383,2559.158191
528.0,6577,2614.868518
528.0,7913,2681.953457
308.0,4571,2720.869077
308.0,5579,2841.089352
264.0,5215,2885.245843
616.0,6765,2942.456901
900.0,8905,3017.721833
660.0,8363,3088.699449
660.0,9045,3164.272595
572.0,6611,3219.671053
440.0,5849,3268.403423
440.0,6368,3322.414493
572.0,5897,3371.520417
308.0,4195,3406.668983
528.0,5631,3454.151064
572.0,6419,3507.726627
528.0,6411,3561.879077
264.0,4177,3596.639413
660.0,5529,3643.366356
660.0,6199,3774.856286
396.0,5823,3824.035332
352.0,4001,3857.727902
572.0,5219,3901.699187
220.0,3905,3934.15185
352.0,4452,3971.787227
528.0,6451,4025.941995
756.0,7879,4092.946004
528.0,6559,4148.117845
484.0,5590,4195.293499
484.0,6800,4252.831144
440.0,5276,4297.261498
484.0,5607,4344.705784
396.0,4717,4384.206183
708.0,8269,4454.83239
616.0,7683,4519.244432
660.0,6601,4575.188235
440.0,4927,4682.882624
572.0,7441,4745.43394
484.0,5987,4796.185381
572.0,4973,4837.723951
396.0,5887,4887.579989
440.0,5469,4933.412379
308.0,3583,4963.509376
396.0,4921,5005.179931
396.0,4630,5044.323493
528.0,6113,5095.979452
996.0,8294,5165.469791
528.0,5373,5210.67355
616.0,7982,5278.6806
660.0,6825,5336.254845
484.0,5703,5384.556334
660.0,8469,5455.964078
756.0,8353,5614.065982
352.0,4657,5653.437838
220.0,5811,5702.470597
308.0,3779,5734.013472
352.0,3379,5762.551738
352.0,5520,5808.525586
948.0,9667,5889.98968
484.0,5417,5935.859394
1044.0,8480,6006.811923
308.0,3199,6033.259959
660.0,6859,6090.487773
572.0,4881,6132.006742
616.0,6198,6184.189871
852.0,6408,6237.702204
660.0,7159,6298.024446
572.0,6152,6349.775583
660.0,7441,6412.641809
572.0,6331,6537.821889
308.0,4395,6574.353883
440.0,4238,6610.228011
352.0,4627,6648.2827
708.0,5783,6697.367887
900.0,7375,6759.121312
396.0,3787,6790.913576
616.0,6797,6848.364143
572.0,6878,6907.031497
352.0,3634,6937.791112
660.0,7409,7000.319672
528.0,4967,7042.588844
660.0,8329,7113.175463
660.0,5911,7163.379697
948.0,8658,7236.494499
660.0,5490,7283.133029
440.0,4921,7325.079244
616.0,4596,7363.33576
528.0,5356,7462.444907
616.0,4721,7502.142869
484.0,5047,7544.895058
660.0,6746,7601.639719
616.0,7141,7661.880922
572.0,5150,7705.420308
1092.0,9673,7786.822425
572.0,5343,7832.53394
528.0,5227,7876.552675
660.0,6419,7930.381176
660.0,7727,7995.822561
616.0,6813,8054.12131
996.0,8645,8126.638467
804.0,8013,8194.48881
616.0,7633,8259.120102
572.0,5703,8369.20765
572.0,4615,8408.088589
572.0,6585,8463.01313
484.0,5263,8508.013394
948.0,6745,8564.714069
1092.0,8610,8637.242158
660.0,8101,8705.933064
440.0,4787,8746.080481
660.0,6717,8802.848139
572.0,5551,8849.841548
440.0,4569,8888.311565
440.0,4975,8930.844275
528.0,4981,8972.40113
660.0,6387,9026.961689
708.0,7645,9091.754949
804.0,6643,9147.102274
