#{"t_start": 1626350970.925364, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,5811,121.612902
572.0,6839,232.854232
440.0,3887,295.88092
396.0,5953,392.95356
660.0,8345,531.189006
440.0,5533,620.569923
616.0,7355,739.696064
352.0,4369,810.549523
440.0,4673,948.584421
352.0,4637,1023.881978
264.0,4289,1093.98881
660.0,6557,1200.625978
308.0,4945,1281.060658
396.0,6166,1380.924743
528.0,4632,1456.09664
264.0,5045,1537.594747
484.0,5121,1620.7261
352.0,4297,1689.880387
440.0,4261,1804.384153
660.0,7105,1919.824203
440.0,4639,1995.467232
528.0,6487,2101.159114
220.0,5315,2187.839195
484.0,6331,2291.132758
396.0,6035,2389.11894
572.0,6839,2499.594705
308.0,5215,2584.413713
308.0,4041,2696.560711
308.0,4213,2764.729863
308.0,4503,2837.660664
528.0,5177,2921.910583
484.0,7709,3048.154476
484.0,5235,3133.06546
308.0,4448,3205.163616
264.0,3478,3262.955951
572.0,4928,3347.747342
440.0,6389,3455.210335
572.0,6417,3620.127321
352.0,4583,3695.984763
660.0,8605,3838.883999
396.0,7589,3964.577442
484.0,6605,4073.679186
484.0,4947,4155.888686
352.0,3709,4216.56336
528.0,5763,4314.913592
572.0,6912,4490.110672
308.0,4465,4572.426318
308.0,4163,4650.165371
396.0,5850,4756.930834
352.0,3601,4823.213283
616.0,6427,4942.74132
352.0,3697,5011.2022
616.0,6554,5130.719326
616.0,6951,5255.843729
220.0,3401,5316.400354
528.0,6315,5471.625348
484.0,5979,5569.837726
352.0,4303,5641.989341
396.0,4766,5720.369808
264.0,4213,5789.607242
484.0,5899,5886.060172
484.0,5153,5970.685273
440.0,4447,6043.20876
660.0,6719,6154.405438
756.0,8095,6353.873125
308.0,3685,6418.096017
308.0,4347,6496.804253
176.0,4024,6565.309692
484.0,6405,6680.824164
440.0,4605,6763.473122
220.0,4222,6837.944096
708.0,8823,6995.13702
396.0,4465,7072.853064
440.0,5672,7174.040017
440.0,5119,7317.143235
572.0,5277,7407.176155
440.0,4524,7482.0309
396.0,5665,7583.253227
708.0,7561,7721.210132
308.0,4261,7796.076676
484.0,4517,7874.874566
572.0,5245,7964.440769
440.0,4827,8051.123202
708.0,7383,8250.371214
308.0,4689,8333.785679
660.0,6997,8449.718409
708.0,7885,8579.870288
440.0,5439,8676.69889
396.0,4677,8759.915871
132.0,3581,8823.907179
484.0,4687,8907.807048
308.0,3505,8970.537146
