#{"t_start": 1626350967.7762609, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
176.0,4275,99.037467
440.0,6257,201.655848
440.0,5309,288.240797
88.0,4459,361.111359
440.0,5647,452.648057
352.0,5291,540.888284
264.0,3481,596.884918
264.0,3707,656.632015
484.0,5175,740.204463
660.0,6659,848.760834
396.0,4211,979.703435
440.0,5059,1061.973894
308.0,4851,1141.154023
264.0,3888,1204.325145
440.0,5209,1289.076512
264.0,4131,1355.854445
220.0,4889,1435.487793
352.0,6523,1541.13817
484.0,6266,1643.033694
308.0,4253,1711.382637
660.0,6899,1868.643986
352.0,4328,1939.068006
572.0,6107,2038.769573
396.0,6588,2145.559668
572.0,6371,2249.436096
264.0,4701,2326.547331
440.0,5587,2416.86694
660.0,5737,2509.670941
352.0,5112,2592.771118
176.0,4055,2705.201029
396.0,5733,2798.033279
440.0,4129,2864.970417
264.0,3030,2914.151162
352.0,4043,2979.455663
308.0,4027,3045.534108
352.0,4127,3112.168984
440.0,5971,3209.149471
132.0,4209,3278.512686
264.0,3891,3346.185935
308.0,4827,3428.039461
660.0,7237,3607.039371
176.0,3604,3665.978258
484.0,5653,3760.877388
352.0,4049,3827.206988
660.0,5923,3924.358927
528.0,6416,4030.465387
396.0,4707,4108.401657
484.0,4859,4188.432231
660.0,6851,4304.048218
440.0,5163,4446.145241
396.0,5129,4540.3009
900.0,9783,4722.578378
440.0,5883,4830.503985
352.0,4055,4905.637056
528.0,6627,5029.217908
708.0,7989,5173.826179
440.0,6257,5286.562489
528.0,5477,5431.02347
308.0,3875,5493.498943
396.0,4663,5570.025213
220.0,4741,5649.538459
220.0,3735,5710.59365
660.0,7259,5829.909216
660.0,7585,5954.702355
396.0,4515,6028.533115
308.0,4812,6107.027529
176.0,3647,6170.529898
308.0,4498,6303.34362
660.0,7691,6441.590538
616.0,7761,6577.400186
484.0,5313,6673.83789
528.0,6957,6798.539321
440.0,5545,6897.51596
396.0,4354,6972.787761
484.0,4797,7057.30198
440.0,5253,7151.474503
572.0,4551,7286.44481
660.0,7405,7412.757404
352.0,4463,7487.193762
440.0,4017,7558.219065
440.0,4508,7641.855614
572.0,6947,7763.989947
660.0,6556,7880.186229
572.0,5105,7967.452977
308.0,3779,8036.133585
264.0,3869,8102.855322
528.0,7443,8305.429366
660.0,6599,8416.317623
528.0,6435,8521.980752
440.0,6037,8624.309398
352.0,5609,8725.075248
484.0,4657,8808.290244
308.0,3865,8877.823359
852.0,9089,9039.203369
