#{"t_start": 1626350958.3026721, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
264.0,4615,114.512655
396.0,5645,206.486382
352.0,4109,273.383608
484.0,6795,384.464512
660.0,7997,516.881232
484.0,6227,617.685656
528.0,6270,719.462501
176.0,3511,775.525017
572.0,5236,923.399025
176.0,3703,983.494372
616.0,5197,1068.229932
220.0,3973,1132.837087
528.0,6077,1231.486118
176.0,3433,1287.084568
440.0,5288,1372.81664
616.0,5787,1466.685732
484.0,4435,1538.18132
88.0,3986,1602.749071
176.0,3459,1658.783169
660.0,7483,1825.184891
352.0,4444,1897.163475
352.0,4145,1964.550512
804.0,7745,2090.413763
528.0,7003,2204.497837
308.0,4061,2270.544354
220.0,4455,2343.135543
264.0,3547,2400.159393
264.0,4221,2468.354051
308.0,3861,2530.510367
484.0,5405,2664.746277
616.0,6720,2773.694556
440.0,4919,2853.581259
440.0,6251,2955.475382
264.0,3727,3015.604621
528.0,5039,3098.322905
352.0,4695,3174.379272
264.0,3307,3228.276705
852.0,7985,3364.761121
352.0,8515,3566.910492
528.0,5609,3658.737147
308.0,5367,3748.211029
396.0,4426,3821.181075
352.0,4415,3893.874505
572.0,6597,4003.233679
308.0,4863,4083.026294
708.0,8107,4217.458631
308.0,4125,4287.057238
352.0,5187,4378.902032
308.0,4693,4513.258977
308.0,3729,4581.833442
660.0,9783,4763.27268
88.0,4063,4837.947943
440.0,5169,4933.816298
264.0,4361,5014.385518
396.0,5057,5107.091865
396.0,5165,5199.477299
264.0,3890,5269.367652
572.0,6168,5427.943884
176.0,3422,5483.089881
440.0,6139,5584.192448
484.0,5609,5677.820943
352.0,5325,5765.541003
396.0,5153,5849.943634
484.0,5902,5946.318955
440.0,6131,6047.140047
484.0,5621,6138.463
132.0,3097,6194.122124
440.0,4571,6327.454165
440.0,5807,6431.325316
528.0,5601,6531.404204
264.0,3941,6600.270235
352.0,4801,6686.98287
484.0,5929,6792.170674
660.0,7527,6927.164345
308.0,4403,7004.989552
440.0,5015,7092.651386
308.0,4358,7171.21628
572.0,8741,7376.620776
660.0,8317,7517.148674
484.0,7021,7646.55322
352.0,5261,7739.785319
352.0,5831,7843.606725
220.0,3921,7909.735909
484.0,4995,7996.412915
528.0,6015,8103.801184
708.0,9139,8335.774136
440.0,5765,8431.989225
352.0,3751,8492.743534
264.0,4043,8559.367132
484.0,5675,8657.117302
308.0,3497,8720.260569
352.0,3879,8788.118912
352.0,5098,8880.707093
132.0,4145,8954.23858
220.0,3443,9014.594326
