#{"t_start": 1626350975.6621628, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
660.0,6883,134.330439
572.0,6177,235.392759
264.0,7045,350.631373
528.0,7497,474.475527
264.0,4193,542.579148
220.0,5107,624.780466
308.0,4383,695.555316
220.0,3841,757.020758
572.0,6219,920.979548
396.0,5487,1010.430461
528.0,5839,1105.936047
660.0,7779,1232.653711
396.0,5943,1329.034738
352.0,5913,1425.39122
352.0,4412,1496.559003
660.0,7859,1624.833971
352.0,5103,1707.273278
484.0,5518,1841.841145
484.0,6533,1948.506413
396.0,4022,2013.629324
484.0,4105,2080.085071
352.0,6679,2188.917498
528.0,6051,2288.11956
352.0,5179,2371.6652
132.0,4237,2439.805794
484.0,5903,2535.624632
352.0,4037,2647.680418
572.0,7273,2765.44212
572.0,7083,2880.820592
528.0,5296,2966.803202
484.0,5045,3049.414813
308.0,5175,3133.365051
132.0,3821,3195.267427
440.0,4567,3270.848496
264.0,3559,3332.622322
88.0,3839,3397.551069
220.0,5235,3543.408042
352.0,5487,3633.513578
88.0,3218,3686.573166
352.0,4560,3762.99385
572.0,5930,3860.009626
484.0,5422,3949.327925
352.0,5075,4033.201013
396.0,4861,4114.148808
708.0,7281,4234.974773
264.0,5429,4329.312469
176.0,4832,4466.062117
264.0,3875,4536.921157
308.0,4918,4629.083888
308.0,4188,4705.882526
484.0,5491,4805.909335
440.0,5707,4911.837055
660.0,5421,5012.219992
616.0,6249,5125.602094
264.0,3425,5187.333248
132.0,3858,5256.541104
616.0,6912,5426.786639
440.0,6547,5533.59303
396.0,4187,5603.967477
528.0,6277,5707.037827
308.0,3921,5771.824158
616.0,5825,5867.068833
440.0,4627,5942.923846
660.0,6581,6051.143766
484.0,4897,6132.230772
264.0,3603,6196.435973
528.0,6361,6363.406411
484.0,7389,6495.56475
708.0,7275,6624.272072
220.0,4116,6697.762065
264.0,4047,6769.504976
528.0,4990,6858.200033
616.0,5237,6950.016113
308.0,3237,7008.134504
660.0,8705,7162.85522
352.0,4608,7297.552729
308.0,3757,7361.698628
484.0,6265,7466.608017
308.0,5329,7560.918296
264.0,5163,7654.90607
308.0,4093,7728.236787
616.0,5509,7827.380594
352.0,4577,7904.882096
484.0,4419,7980.990303
396.0,3855,8050.321666
308.0,4999,8207.572557
572.0,7757,8344.470509
264.0,3467,8401.991162
440.0,5505,8491.869592
484.0,4969,8574.191587
572.0,5407,8670.332732
264.0,4627,8752.316658
756.0,6867,8876.417199
484.0,5797,8979.340647
