#{"t_start": 1626350972.5071075, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
440.0,5489,114.891112
176.0,3925,178.52043
176.0,3777,239.790791
352.0,4985,321.397139
440.0,5821,416.267539
308.0,5311,504.768429
440.0,4945,584.783017
484.0,6311,686.935831
308.0,4839,764.811429
176.0,3717,825.119
308.0,5347,974.039135
176.0,3897,1036.988279
396.0,5431,1125.885659
616.0,6749,1235.914911
616.0,6054,1334.015074
352.0,4255,1403.1734
396.0,5777,1496.793243
264.0,4059,1562.861974
220.0,4971,1643.423551
176.0,3315,1696.576049
756.0,9208,1892.071549
484.0,5055,1974.190822
440.0,5439,2062.439969
308.0,4101,2128.987019
308.0,4473,2201.777287
396.0,5201,2286.785815
616.0,7679,2411.565199
396.0,5493,2500.037632
660.0,6391,2650.774466
484.0,7117,2766.461399
528.0,5554,2856.406979
440.0,5411,2944.595635
572.0,5815,3039.664446
308.0,4173,3107.512537
308.0,3485,3163.759923
352.0,5395,3252.88021
132.0,4043,3322.174393
616.0,6089,3425.56591
88.0,3915,3549.278697
396.0,5353,3637.111065
440.0,5466,3727.876258
352.0,5495,3818.874686
616.0,7468,3941.987126
440.0,5883,4039.402499
440.0,5195,4125.967493
440.0,4617,4201.809844
708.0,8385,4347.464081
352.0,4003,4468.499461
484.0,6877,4595.866776
660.0,7987,4743.612743
396.0,5611,4846.752942
396.0,4261,4926.040012
264.0,4774,5014.180183
900.0,12054,5233.026246
572.0,5957,5339.376061
660.0,8903,5535.221894
352.0,4641,5612.824051
756.0,7328,5733.390301
484.0,5401,5821.994051
352.0,4537,5896.052352
396.0,6214,5998.146803
616.0,5355,6085.422766
528.0,6141,6191.458614
396.0,5603,6344.618263
396.0,3963,6413.647889
308.0,6277,6525.760727
176.0,4393,6603.502573
308.0,6317,6717.66059
176.0,3820,6785.228172
132.0,3735,6852.271051
396.0,4921,6938.715748
440.0,5317,7033.071889
616.0,5493,7131.318059
616.0,5707,7285.590204
352.0,5137,7374.004179
264.0,5087,7458.711699
396.0,5437,7553.95297
616.0,7035,7684.828749
352.0,3967,7750.952095
440.0,5200,7845.739038
440.0,5803,7944.995094
484.0,4897,8032.895698
308.0,4253,8106.206298
484.0,4889,8262.027889
484.0,5245,8353.870699
484.0,6563,8462.335774
572.0,5438,8551.940039
264.0,4591,8630.268838
440.0,4757,8716.256865
572.0,6419,8830.402298
528.0,5097,8922.308598
352.0,4322,8998.03538
