#{"t_start": 1626350969.3520525, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,4912,108.357305
660.0,7463,229.71108
308.0,4755,307.564693
352.0,3873,370.22734
352.0,4591,444.843498
308.0,5384,534.433838
352.0,4649,609.277972
44.0,3815,671.021467
176.0,4341,740.825951
176.0,4227,809.438979
484.0,7483,993.48628
484.0,6974,1107.709654
264.0,4651,1183.442061
264.0,3901,1246.730188
440.0,4530,1319.872133
660.0,6851,1431.379426
396.0,4975,1511.90375
308.0,7139,1628.28613
352.0,4143,1695.066066
352.0,5531,1829.899875
396.0,6241,1931.710343
440.0,5015,2013.666027
440.0,5695,2105.921536
220.0,5075,2188.516234
220.0,3699,2248.4064
396.0,7691,2373.84264
616.0,7571,2496.160903
264.0,5087,2579.066834
352.0,6417,2729.472294
528.0,5981,2826.376319
352.0,6488,2932.284917
308.0,4059,2997.638522
176.0,4879,3077.725527
352.0,6044,3175.419888
308.0,5453,3265.471663
484.0,6103,3370.561352
264.0,5131,3456.394287
264.0,5737,3610.234107
996.0,8255,3747.778527
484.0,6068,3847.666669
528.0,6425,3953.707604
308.0,4975,4035.646292
528.0,6615,4145.616529
220.0,4001,4211.179778
308.0,5509,4304.678138
484.0,5297,4449.238794
616.0,7733,4592.412137
176.0,3583,4658.835945
352.0,4820,4747.044565
484.0,4873,4836.626112
484.0,5887,4945.733191
396.0,5401,5046.530785
352.0,5159,5138.575963
440.0,4949,5227.914966
756.0,8001,5419.56199
88.0,3756,5479.880275
616.0,6147,5581.311194
264.0,4124,5649.514651
132.0,3653,5709.422097
308.0,4011,5775.509933
708.0,8245,5910.450237
528.0,5287,5997.625011
572.0,4763,6075.260224
220.0,4267,6146.022544
308.0,6259,6310.68045
396.0,4543,6391.414531
264.0,3693,6458.332022
528.0,4976,6544.309552
440.0,5223,6638.703685
572.0,5323,6733.403128
308.0,3693,6799.606216
572.0,6253,6911.261109
440.0,5692,7011.558887
484.0,5738,7113.414943
396.0,4682,7251.982243
804.0,8750,7400.684508
616.0,7931,7535.202174
220.0,5713,7641.24355
440.0,4869,7727.609522
660.0,5551,7826.924273
264.0,4183,7897.723297
264.0,3711,7961.375987
484.0,6506,8077.91166
484.0,5177,8237.475713
396.0,4295,8314.803764
708.0,8045,8449.141065
804.0,6369,8554.218662
572.0,5681,8653.227183
396.0,5105,8743.129251
616.0,6771,8866.323106
352.0,4439,8945.054656
352.0,4363,9021.879581
