#{"t_start": 1626350974.0848832, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
396.0,4377,94.580908
308.0,4692,171.490623
440.0,4764,248.96778
528.0,6943,362.491231
264.0,4137,429.70955
484.0,6259,533.302462
308.0,4967,613.262339
396.0,5317,699.408243
352.0,5211,784.040313
660.0,7319,965.593249
132.0,3567,1023.199978
308.0,4843,1102.636568
352.0,4405,1173.965984
352.0,4955,1254.519866
528.0,5119,1337.236593
572.0,4530,1410.598022
484.0,4352,1481.133038
220.0,3859,1543.96289
440.0,5281,1629.467602
484.0,5783,1723.167594
528.0,4961,1848.69884
88.0,3742,1909.424573
616.0,5207,1994.151345
264.0,4245,2063.294577
572.0,6293,2165.731984
264.0,3467,2221.980355
528.0,5773,2316.298691
440.0,5225,2400.809936
352.0,6021,2497.992129
440.0,6311,2647.306435
308.0,6153,2747.260251
440.0,5247,2832.407181
352.0,5083,2915.480937
396.0,6043,3014.354711
528.0,5794,3108.463865
528.0,5028,3189.896637
352.0,7512,3317.020956
660.0,7389,3442.322769
264.0,4037,3568.409413
308.0,3747,3629.650235
352.0,3691,3690.52678
352.0,5177,3776.904167
484.0,5262,3862.966777
308.0,3627,3922.295072
528.0,5298,4009.960752
440.0,5525,4101.076235
572.0,7933,4232.729382
484.0,4839,4315.835656
484.0,7601,4502.907965
572.0,5177,4598.962311
440.0,6273,4715.115068
572.0,5399,4813.752582
308.0,3547,4879.466118
440.0,6147,4993.518317
308.0,4745,5081.204649
308.0,3989,5151.993256
660.0,5193,5245.510066
352.0,4315,5321.928769
220.0,4085,5440.162764
396.0,6927,5553.402768
616.0,6477,5661.440557
352.0,5847,5758.08
220.0,3617,5816.963124
572.0,6655,5925.76225
804.0,10095,6092.33254
176.0,3237,6145.987328
308.0,4321,6222.442735
660.0,6309,6388.39207
88.0,3295,6448.349529
572.0,5129,6537.297601
756.0,8629,6692.549106
440.0,5255,6785.990028
308.0,4138,6859.621073
616.0,7389,6991.782573
352.0,4858,7076.355815
264.0,4277,7153.310694
572.0,6509,7320.690131
220.0,4761,7401.894252
484.0,4564,7477.670565
484.0,5139,7569.44751
220.0,5301,7666.570994
660.0,7883,7807.241511
440.0,5313,7898.313042
352.0,4251,7971.285073
396.0,4295,8048.302947
616.0,5093,8207.38507
264.0,4441,8286.069002
440.0,6109,8390.537986
352.0,5198,8475.576492
528.0,5799,8571.382243
484.0,5867,8675.547675
352.0,4457,8754.531793
484.0,6439,8871.145712
616.0,6245,8982.044839
