#{"t_start": 1626350955.1451368, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
264.0,4285,111.597167
660.0,8179,245.788413
308.0,5915,342.611045
352.0,3769,403.286221
308.0,5146,487.859082
264.0,4205,557.380767
572.0,5789,650.904771
352.0,4503,723.625428
660.0,6838,834.92342
264.0,3787,958.266825
88.0,3837,1020.734025
264.0,3983,1085.45452
308.0,7413,1206.194063
264.0,3691,1266.114848
88.0,3783,1326.848362
396.0,5445,1415.069862
660.0,7261,1533.040777
308.0,4901,1612.725612
308.0,5869,1707.536983
484.0,6219,1854.080355
484.0,6939,1967.316207
264.0,4117,2034.267374
264.0,4801,2111.618254
308.0,3595,2169.866133
264.0,3787,2231.458903
264.0,5285,2318.191417
220.0,4447,2389.809364
264.0,4809,2467.294595
352.0,5987,2564.530008
308.0,4301,2680.644561
572.0,5359,2767.568958
528.0,5791,2861.616458
308.0,4985,2942.907737
132.0,3864,3005.267984
440.0,6073,3104.909784
660.0,7910,3234.109169
308.0,4373,3307.493454
396.0,5217,3397.651748
396.0,6303,3561.900893
396.0,4729,3639.695499
308.0,4897,3720.812714
132.0,3592,3781.418749
352.0,4008,3846.735171
176.0,3442,3902.955767
708.0,7885,4033.767745
484.0,5211,4119.854782
132.0,3036,4170.146194
660.0,7295,4291.891252
352.0,5621,4439.810818
484.0,5853,4547.063353
308.0,6160,4662.483024
176.0,3157,4719.787381
528.0,6314,4835.407432
308.0,4499,4918.736405
572.0,6641,5042.252776
660.0,7931,5185.633446
396.0,3583,5249.678937
220.0,3461,5311.441834
660.0,6105,5465.025245
528.0,4739,5541.994267
484.0,4197,5612.057227
352.0,4621,5688.369869
264.0,3807,5750.662496
484.0,7623,5876.146117
440.0,5021,5958.146073
572.0,4625,6034.096369
528.0,4799,6112.130366
264.0,4639,6192.609821
660.0,8303,6393.48681
220.0,4123,6467.866124
176.0,3617,6531.018812
396.0,5935,6635.743053
132.0,3661,6701.577286
616.0,7767,6840.468724
264.0,4293,6917.498796
440.0,5179,7008.690207
660.0,6184,7117.288197
440.0,5675,7273.975861
708.0,7291,7398.20946
616.0,5989,7498.279847
572.0,5624,7598.677326
264.0,5077,7692.576755
484.0,4979,7778.650702
176.0,3696,7845.964708
484.0,6458,7956.816251
528.0,4497,8036.205496
308.0,4405,8113.576351
264.0,6048,8289.830657
264.0,3039,8344.171412
352.0,4041,8411.812405
572.0,6717,8521.664791
440.0,4749,8600.379379
528.0,5157,8692.775725
264.0,3601,8755.731503
616.0,5567,8856.281579
484.0,6143,8966.507633
660.0,6271,9076.895384
