#{"t_start": 1626350964.6187253, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
308.0,3491,89.262154
396.0,4785,167.655056
352.0,4385,238.980823
176.0,4335,309.819014
396.0,5365,396.874439
308.0,4845,475.669398
900.0,10601,650.150861
440.0,3883,712.582992
528.0,5127,795.623895
440.0,5413,945.400102
440.0,6283,1048.117524
616.0,6925,1161.392996
660.0,6255,1263.734553
440.0,4849,1341.986784
572.0,7412,1462.719231
396.0,4421,1533.794211
352.0,5531,1623.442691
440.0,4221,1691.299443
396.0,4239,1805.233304
220.0,4113,1871.901218
220.0,5324,1958.906539
220.0,3811,2020.564394
616.0,7883,2148.597667
132.0,3657,2208.121126
616.0,4865,2287.852215
484.0,6941,2400.58993
396.0,6557,2506.44595
88.0,3877,2569.668132
616.0,6137,2715.711274
220.0,4563,2789.668242
484.0,7429,2910.520442
660.0,6445,3015.454343
396.0,4363,3086.601941
616.0,5235,3171.512898
616.0,7715,3300.345113
176.0,3920,3367.724234
572.0,7237,3547.939993
572.0,6779,3660.05354
396.0,5991,3760.5535
528.0,5189,3845.837421
176.0,3867,3908.915971
484.0,5403,3998.578234
308.0,4671,4075.419649
396.0,4113,4144.025857
708.0,7879,4275.371985
528.0,7065,4449.89153
308.0,3833,4519.715913
352.0,4295,4599.375479
440.0,6439,4718.637164
132.0,3116,4774.641007
352.0,4395,4855.800973
528.0,4393,4937.059145
396.0,4947,5029.035877
220.0,3597,5094.255893
572.0,5813,5198.294349
352.0,4495,5278.579867
308.0,4567,5409.478313
440.0,7077,5524.624045
572.0,6473,5632.761262
440.0,5547,5724.094766
572.0,7247,5843.473325
264.0,4030,5908.845677
308.0,4741,5986.880661
264.0,4291,6057.148341
616.0,6181,6159.543998
996.0,7739,6352.364294
352.0,5137,6444.333419
616.0,8489,6593.609461
660.0,6221,6706.134543
396.0,5143,6797.655947
528.0,5913,6903.378183
572.0,6943,7026.174515
352.0,5092,7116.486174
484.0,5113,7262.460736
308.0,4369,7335.820112
528.0,6191,7440.901431
572.0,5407,7532.168639
660.0,7999,7679.909919
660.0,7932,7821.486132
528.0,7581,7951.764005
396.0,4467,8031.098691
660.0,6815,8220.718042
484.0,5011,8310.40127
440.0,4841,8392.039379
176.0,4479,8465.333477
440.0,5710,8559.402853
616.0,5571,8655.936832
440.0,3773,8723.309488
660.0,6261,8835.134633
660.0,6191,8946.59176
308.0,5029,9035.076155
