#{"t_start": 1626350977.2444024, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
396.0,4681,96.600619
176.0,3885,160.047906
220.0,4213,228.32724
220.0,3665,287.826874
352.0,5223,372.805549
396.0,5249,457.815386
660.0,7005,573.671628
264.0,4481,645.856913
528.0,6009,742.866495
660.0,8569,944.708182
484.0,4679,1020.824138
308.0,4331,1091.509803
88.0,4573,1165.679924
616.0,7738,1292.15072
528.0,7589,1415.885878
308.0,5315,1501.714921
660.0,8015,1632.151457
308.0,5217,1716.563356
88.0,6374,1865.174964
572.0,5147,1949.200813
484.0,5142,2032.916568
528.0,6930,2145.357796
440.0,5261,2231.102453
616.0,9159,2380.708271
900.0,7601,2503.627183
616.0,6271,2652.384978
396.0,7319,2771.229942
440.0,3701,2830.832878
308.0,5215,2915.932297
440.0,5291,3001.823275
352.0,5677,3094.477661
264.0,5603,3185.43115
396.0,6171,3288.992174
660.0,6433,3398.948572
396.0,4301,3529.068686
264.0,5259,3615.925706
308.0,5619,3709.147302
440.0,6019,3809.065792
176.0,4056,3875.876167
264.0,4041,3942.29911
396.0,4069,4009.662656
708.0,9057,4159.949933
308.0,5426,4250.400866
264.0,5709,4350.79472
264.0,3759,4467.643365
308.0,4359,4547.364931
396.0,4731,4635.549742
308.0,4825,4723.946843
220.0,4499,4805.900408
308.0,5379,4905.99864
352.0,4095,4981.910431
352.0,5031,5074.800794
528.0,5323,5170.249028
572.0,6769,5291.754616
264.0,4059,5412.138856
176.0,4449,5484.112642
484.0,5447,5574.512029
528.0,5297,5662.098253
484.0,4975,5743.985852
996.0,10757,5920.740747
220.0,3319,5975.507385
440.0,4059,6041.789705
352.0,4343,6112.096649
440.0,4621,6194.071541
572.0,5921,6352.808877
396.0,6087,6462.298038
352.0,4487,6539.462641
440.0,4902,6628.308024
220.0,4007,6699.184592
352.0,4065,6771.089695
616.0,5702,6873.518495
484.0,6499,6988.944461
616.0,8093,7132.322459
308.0,4359,7264.053392
616.0,5975,7365.690436
660.0,6589,7475.857685
528.0,4551,7556.669065
396.0,6321,7673.121169
616.0,7009,7796.494184
528.0,5613,7893.638738
484.0,4247,7966.641026
572.0,4929,8055.167585
572.0,6223,8233.427362
440.0,4887,8321.321203
484.0,5942,8420.112518
352.0,4693,8496.905975
660.0,6707,8610.393627
484.0,7005,8734.628805
264.0,3457,8797.384199
264.0,3757,8864.685811
220.0,4065,8936.739217
