#{"t_start": 1626350959.87599, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
352.0,4391,108.885529
264.0,4271,178.84827
88.0,4165,246.588453
352.0,4887,326.580817
308.0,5329,412.98698
176.0,3757,473.498392
528.0,7307,594.512039
132.0,4807,671.8463
176.0,3733,731.629106
484.0,7175,847.989043
308.0,4795,988.228666
264.0,5679,1080.610082
440.0,4993,1161.912789
352.0,5219,1246.939485
264.0,4379,1317.85687
396.0,6471,1422.902773
396.0,4985,1503.783354
440.0,6249,1605.543527
220.0,3258,1657.949883
572.0,5031,1739.340151
352.0,6229,1885.371567
176.0,3959,1949.660564
572.0,6222,2051.08106
440.0,6031,2148.908644
396.0,7989,2279.843289
572.0,6093,2378.596783
264.0,4889,2457.536783
440.0,5265,2542.412374
352.0,5686,2681.716907
572.0,6197,2782.098772
220.0,3227,2834.160526
440.0,5955,2931.545861
572.0,7275,3050.425148
396.0,4691,3126.610502
220.0,3913,3189.819741
308.0,4644,3266.706191
572.0,5231,3356.223468
264.0,4002,3424.309526
264.0,4129,3551.28649
308.0,4047,3618.24449
528.0,5683,3712.245801
660.0,7321,3833.959515
308.0,4063,3900.543713
572.0,6606,4009.726624
616.0,6659,4120.001096
528.0,5365,4208.518227
440.0,7237,4331.954645
572.0,5859,4487.482849
660.0,9886,4671.121847
220.0,3349,4731.990953
484.0,5427,4831.393298
264.0,4595,4916.636334
88.0,4193,4994.144253
616.0,6735,5118.1348
572.0,5517,5216.961786
708.0,9135,5429.194789
308.0,4919,5508.657793
948.0,6591,5618.47149
220.0,3943,5683.26404
528.0,5389,5771.851918
616.0,6389,5876.290943
484.0,5189,5961.743058
572.0,6357,6065.947363
572.0,6442,6174.398188
396.0,5691,6328.896527
484.0,3989,6399.363411
132.0,3965,6471.7617
396.0,4579,6550.860208
440.0,4945,6640.225397
264.0,3719,6705.959934
352.0,6245,6817.857014
396.0,4953,6905.872551
660.0,6853,7027.148644
88.0,3805,7093.9261
852.0,7754,7286.812827
440.0,4989,7371.628035
220.0,4083,7440.381111
572.0,5511,7533.674975
352.0,4479,7615.915796
572.0,6607,7735.348594
484.0,5689,7837.03224
396.0,7606,7967.060626
352.0,3477,8029.415748
484.0,4475,8108.103978
660.0,6856,8299.413368
484.0,5082,8387.255444
264.0,4439,8460.008903
264.0,3885,8523.560497
660.0,7751,8656.507712
572.0,5492,8753.849281
804.0,7951,8898.235723
308.0,3561,8961.362621
484.0,5471,9057.886678
