#{"t_start": 1626350978.8172183, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
352.0,5971,116.314631
572.0,7487,238.626182
484.0,4953,319.489524
440.0,6361,422.849375
264.0,3701,484.782113
220.0,4107,551.373953
572.0,7827,678.298985
352.0,4959,757.966629
484.0,5251,906.009279
440.0,5843,1001.024982
352.0,4286,1070.963503
484.0,5621,1162.333413
308.0,4519,1236.078095
308.0,7413,1356.349452
572.0,5339,1442.888659
352.0,6091,1541.889611
132.0,4455,1614.080693
220.0,4435,1685.744244
352.0,5833,1825.867395
352.0,6091,1925.278216
176.0,4027,1990.575185
264.0,6105,2089.936124
352.0,5657,2182.000283
176.0,4600,2257.19899
484.0,5888,2352.916783
308.0,5017,2433.792292
660.0,6857,2545.482629
440.0,5141,2675.200476
352.0,4885,2754.406617
220.0,3603,2812.592979
396.0,5177,2896.920621
352.0,6719,3006.573961
264.0,3419,3062.06433
132.0,3195,3113.739817
132.0,4577,3187.736557
264.0,4319,3259.259954
572.0,6098,3364.578485
660.0,8401,3564.643781
352.0,4310,3634.905354
440.0,5533,3727.034819
660.0,6083,3827.909506
396.0,6595,3936.726552
484.0,5445,4026.584869
616.0,5083,4110.773032
708.0,7025,4226.893448
220.0,5627,4324.547894
484.0,5499,4473.985715
264.0,4397,4554.187409
528.0,6060,4666.976791
660.0,7678,4807.78471
440.0,6151,4922.043245
440.0,5581,5026.22306
572.0,8267,5175.125202
660.0,6873,5298.588007
616.0,6082,5450.917033
660.0,5723,5544.232227
528.0,6330,5649.956091
660.0,7413,5772.470445
308.0,4667,5848.532524
528.0,5349,5936.049289
572.0,6010,6034.991034
396.0,5573,6126.760388
660.0,5821,6283.587448
264.0,3837,6351.668077
440.0,6817,6474.234771
396.0,5673,6571.884665
88.0,3931,6643.450457
264.0,3918,6713.628604
352.0,6539,6830.28536
484.0,6749,6949.169441
616.0,7403,7081.287046
616.0,7411,7268.00155
352.0,4981,7352.553878
352.0,4595,7429.865433
352.0,3507,7488.445171
660.0,6583,7608.860213
440.0,7151,7735.549809
176.0,3756,7804.158374
616.0,7394,7931.269786
528.0,5213,8024.372933
484.0,4873,8108.116889
440.0,4531,8258.239441
440.0,5783,8359.333145
396.0,5057,8442.517978
176.0,3917,8506.585412
572.0,7087,8626.89951
396.0,4581,8709.670483
572.0,6601,8827.458042
308.0,3160,8883.879021
88.0,3809,8951.58747
352.0,4886,9037.372634
