#{"t_start": 1626350956.7179525, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
396.0,5581,132.00657
88.0,3929,196.063936
352.0,3601,254.230825
352.0,4825,333.19151
264.0,4923,412.961194
484.0,5685,507.354562
264.0,4937,587.234735
440.0,6975,700.155705
528.0,4959,779.897752
308.0,4173,848.135369
528.0,6085,1009.553195
264.0,4635,1085.249177
132.0,3397,1140.402574
528.0,6075,1239.186517
572.0,5655,1330.805945
308.0,5183,1415.134342
220.0,4359,1486.068724
440.0,6255,1588.050609
264.0,3309,1641.328933
264.0,5662,1733.188271
132.0,3313,1831.895768
484.0,5021,1913.470464
572.0,6493,2019.363073
352.0,5097,2101.832673
308.0,4922,2181.941746
484.0,6112,2281.809503
308.0,4511,2355.309974
220.0,3728,2414.92658
528.0,5621,2505.327468
484.0,7458,2673.702547
220.0,3747,2733.935292
220.0,4427,2805.434581
440.0,4865,2884.661107
308.0,5399,2972.372611
264.0,4087,3039.023752
132.0,3478,3095.27449
220.0,3505,3151.806317
308.0,5997,3250.558426
660.0,7899,3385.105431
440.0,7055,3562.634477
528.0,6317,3666.571465
352.0,5363,3755.764116
176.0,4660,3832.352481
440.0,6525,3939.759218
176.0,4403,4012.649559
572.0,6594,4122.10563
352.0,4745,4200.081275
308.0,5948,4300.024162
948.0,10953,4547.68385
352.0,3871,4620.040313
264.0,3863,4691.402792
308.0,5645,4794.557872
220.0,4375,4875.132558
660.0,7953,5022.865628
616.0,7410,5157.269693
396.0,4251,5234.385275
308.0,6251,5345.820578
440.0,5591,5488.553815
264.0,5135,5572.730884
484.0,5829,5670.153197
616.0,7259,5789.818528
264.0,4763,5867.209886
396.0,4005,5932.37739
396.0,5513,6023.02714
308.0,4563,6097.210195
220.0,3738,6159.225059
220.0,4250,6234.502467
396.0,4869,6375.501853
484.0,4249,6451.15936
352.0,3991,6522.071966
660.0,7441,6654.858888
264.0,5557,6753.629995
176.0,3995,6824.928986
396.0,3798,6892.177505
308.0,3871,6959.480278
264.0,4379,7037.712455
396.0,4794,7122.814629
132.0,4055,7251.286841
352.0,5431,7343.067652
484.0,7088,7462.839401
396.0,5039,7549.226066
440.0,5263,7647.319539
396.0,6567,7762.181522
264.0,4329,7841.635125
440.0,5319,7932.566816
440.0,5651,8032.231049
756.0,6585,8217.873474
660.0,6915,8340.65527
484.0,4953,8423.510604
528.0,4393,8494.920974
572.0,5071,8578.44924
308.0,4061,8648.270648
484.0,6167,8758.204663
176.0,3829,8827.842552
708.0,8532,8980.532527
