#{"t_start": 1626350961.4611995, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
440.0,7451,157.712856
220.0,4190,225.776313
484.0,5281,311.944363
396.0,5653,404.259372
264.0,4495,477.007101
804.0,9299,630.12932
308.0,4922,709.501832
352.0,3521,765.877323
308.0,5787,922.58509
264.0,3587,980.60418
616.0,5393,1068.465532
660.0,9299,1220.388617
308.0,5253,1305.9033
352.0,7223,1423.48905
220.0,4699,1499.603072
528.0,6305,1602.172222
484.0,7235,1719.54133
484.0,5139,1848.207716
132.0,3593,1906.545809
396.0,4223,1975.388606
132.0,3873,2038.411452
440.0,4959,2118.504548
484.0,5017,2200.135023
396.0,4825,2279.139967
572.0,8587,2418.540931
660.0,6555,2524.374353
616.0,5211,2655.786535
132.0,4465,2728.057694
396.0,5495,2817.357047
352.0,4477,2890.080404
572.0,5747,2983.413237
396.0,5029,3065.933087
396.0,4481,3138.256089
264.0,4040,3203.74296
484.0,5137,3288.70845
220.0,3405,3348.31327
352.0,4283,3420.947149
440.0,5383,3569.700491
264.0,4851,3648.965949
220.0,4527,3724.039193
440.0,5281,3811.77791
440.0,7021,3927.318053
264.0,3889,3991.87925
440.0,6485,4099.025266
352.0,5987,4198.171179
572.0,5963,4298.523763
264.0,3285,4357.017029
352.0,6537,4524.751295
132.0,3751,4594.368846
572.0,4791,4683.178618
440.0,6373,4799.662207
572.0,6445,4919.593988
572.0,5071,5013.295311
660.0,8487,5168.346859
220.0,4132,5242.440809
484.0,6388,5407.13768
572.0,6339,5510.114054
484.0,5817,5607.206347
264.0,4867,5687.322813
572.0,5023,5769.808405
352.0,4001,5835.186645
308.0,4320,5905.703509
440.0,5657,5999.131849
440.0,6079,6098.385714
484.0,4427,6173.876896
484.0,5041,6316.21332
660.0,5780,6417.836599
352.0,5521,6518.102976
660.0,9833,6692.828344
616.0,7907,6834.289558
660.0,5281,6928.242152
616.0,7349,7057.508803
396.0,5307,7152.675805
396.0,5896,7310.7483
352.0,5250,7400.432531
660.0,7449,7525.732534
616.0,5523,7627.897671
220.0,4491,7710.170157
852.0,7287,7838.37095
352.0,4148,7908.293541
660.0,7841,8047.663093
660.0,5726,8217.230161
572.0,6407,8331.343366
396.0,5693,8426.412203
220.0,4543,8500.508909
484.0,5823,8597.124132
756.0,7853,8737.965779
396.0,5786,8841.730926
308.0,3923,8911.492814
948.0,7389,9043.211039
