#{"t_start": 1626350963.0434299, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
616.0,8722,177.501646
396.0,5410,265.548803
264.0,5180,349.941933
308.0,4005,414.841043
220.0,4353,487.532723
264.0,4227,556.310409
220.0,5127,638.823711
396.0,4467,711.017617
220.0,4473,782.82664
220.0,3923,846.509986
308.0,3617,967.455233
660.0,9199,1118.080108
264.0,3953,1182.331518
484.0,5031,1264.171528
88.0,3761,1324.822707
708.0,8405,1461.856687
484.0,5605,1553.083833
396.0,5545,1643.23755
264.0,3883,1705.704431
660.0,8849,1895.175021
484.0,5437,1983.520083
528.0,7459,2105.046266
572.0,7099,2221.001251
572.0,6229,2323.05669
660.0,6905,2434.682761
132.0,4589,2508.317358
132.0,3545,2565.931712
308.0,3963,2676.563483
572.0,6059,2774.793702
308.0,4827,2853.15322
440.0,7243,2971.372684
440.0,4467,3044.169613
308.0,5263,3129.801781
308.0,3867,3191.961484
660.0,8173,3330.167431
528.0,6014,3432.268851
132.0,3897,3555.872519
572.0,5519,3646.49439
528.0,6197,3749.91083
264.0,6605,3858.976458
528.0,6416,3965.214306
616.0,4901,4046.175873
572.0,5248,4133.646067
396.0,4634,4209.62581
176.0,4302,4281.874047
528.0,4858,4368.176044
440.0,6193,4529.449414
352.0,4831,4619.418834
308.0,3596,4685.609523
396.0,5413,4784.764364
308.0,4142,4861.301115
440.0,5206,4958.069206
396.0,5769,5065.82022
176.0,4557,5146.617609
440.0,5721,5250.181393
484.0,5827,5404.821867
352.0,3779,5465.486037
440.0,4353,5536.479748
396.0,4367,5609.512756
440.0,6419,5715.216368
660.0,5341,5803.154486
264.0,3892,5866.664097
900.0,7478,5989.856661
264.0,3867,6052.917462
484.0,5199,6137.434306
308.0,3401,6198.181396
660.0,7783,6390.04954
308.0,3161,6447.310409
572.0,7131,6571.911451
660.0,7547,6708.454829
616.0,5273,6802.738457
352.0,4265,6878.409053
264.0,4481,6956.787008
616.0,7147,7083.92527
396.0,5399,7180.453792
484.0,5181,7324.381858
396.0,4085,7394.40763
264.0,4959,7476.947135
528.0,5205,7569.030869
176.0,4436,7651.01326
572.0,6403,7763.487499
352.0,6291,7876.170118
484.0,4262,7949.267142
176.0,4105,8021.383542
528.0,5979,8196.016255
660.0,6575,8313.545908
572.0,5906,8412.900182
660.0,7839,8541.784937
308.0,4383,8615.037177
308.0,5005,8704.774964
616.0,6753,8825.767179
308.0,3617,8890.626109
660.0,6605,9007.695473
